County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor
Albany,2019,6232,2288,418,462,101,1307,3944,674,588,1476,1206
Allegany,2019,752,210,33,45,15,117,542,60,159,106,217
Broome,2019,4807,1425,293,311,60,761,3382,659,361,1290,1072
Cattaraugus,2019,1523,453,129,65,55,204,1070,163,282,237,388
Cayuga,2019,1241,411,66,60,25,260,830,62,135,294,339
Chautauqua,2019,3603,1081,207,209,60,605,2522,463,421,692,946
Chemung,2019,2039,525,103,102,55,265,1514,358,207,502,447
Chenango,2019,787,250,38,49,17,146,537,83,81,132,241
Clinton,2019,1708,460,111,77,57,215,1248,116,274,465,393
Columbia,2019,1263,340,85,63,34,158,923,329,206,140,248
Cortland,2019,1071,299,33,67,33,166,772,125,179,202,266
Delaware,2019,756,197,43,41,26,87,559,85,126,131,217
Dutchess,2019,4267,1200,215,211,154,620,3067,596,900,697,874
Erie,2019,19181,6358,1283,1604,330,3141,12823,2799,1811,3844,4369
Essex,2019,646,159,21,19,25,94,487,67,164,88,168
Franklin,2019,926,321,96,32,23,170,605,109,130,155,211
Fulton,2019,1015,291,61,44,29,157,724,132,154,208,230
Genesee,2019,1214,380,43,80,41,216,834,97,196,220,321
Greene,2019,1214,342,81,45,49,167,872,208,317,129,218
Hamilton,2019,52,9,0,1,2,6,43,1,18,7,17
Herkimer,2019,959,274,17,55,41,161,685,77,188,170,250
Jefferson,2019,1868,527,84,95,43,305,1341,115,290,471,465
Lewis,2019,359,124,35,16,16,57,235,27,84,47,77
Livingston,2019,1025,393,88,51,51,203,632,114,165,112,241
Madison,2019,1099,305,35,59,35,176,794,101,149,248,296
Monroe,2019,12604,4232,575,968,410,2279,8372,530,1603,3332,2907
Montgomery,2019,1121,375,75,59,26,215,746,123,133,208,282
Nassau,2019,15374,4611,811,1031,269,2500,10763,4074,1764,2241,2684
Niagara,2019,4562,1435,191,360,82,802,3127,438,519,1015,1155
Oneida,2019,4544,1096,154,217,78,647,3448,444,381,1400,1223
Onondaga,2019,9578,3217,415,786,171,1845,6361,834,1064,2309,2154
Ontario,2019,2079,731,150,117,76,388,1348,291,301,321,435
Orange,2019,7835,2183,480,385,211,1107,5652,1125,1211,1708,1608
Orleans,2019,748,262,51,39,23,149,486,72,96,132,186
Oswego,2019,2494,619,64,103,42,410,1875,230,279,826,540
Otsego,2019,1024,278,37,58,37,146,746,89,153,232,272
Putnam,2019,1193,255,50,24,54,127,938,212,382,90,254
Rensselaer,2019,3254,1115,192,215,70,638,2139,298,351,760,730
Rockland,2019,3085,930,144,236,77,473,2155,320,482,600,753
Saratoga,2019,3276,904,143,128,108,525,2372,410,651,632,679
Schenectady,2019,3407,1200,242,267,57,634,2207,201,277,785,944
Schoharie,2019,321,87,11,14,20,42,234,18,53,43,120
Schuyler,2019,263,78,8,13,11,46,185,27,55,41,62
Seneca,2019,630,239,36,22,32,149,391,41,68,130,152
St. Lawrence,2019,1819,610,149,92,45,324,1209,192,301,347,369
Steuben,2019,1928,703,221,96,69,317,1225,234,279,319,393
Suffolk,2019,18794,4488,818,820,419,2431,14306,3463,2474,4067,4302
Sullivan,2019,1857,577,91,118,55,313,1280,337,243,337,363
Tioga,2019,606,183,44,42,19,78,423,91,81,73,178
Tompkins,2019,1108,267,30,50,30,157,841,91,144,363,243
Ulster,2019,3428,975,155,159,115,546,2453,397,676,557,823
Warren,2019,1375,357,79,59,48,171,1018,189,234,285,310
Washington,2019,1099,329,50,52,33,194,770,183,146,126,315
Wayne,2019,1242,377,50,77,41,209,865,55,179,293,338
Westchester,2019,12962,4189,712,912,215,2350,8773,1555,1736,2078,3404
Wyoming,2019,710,240,27,35,64,114,470,73,206,72,119
Yates,2019,273,67,6,10,6,45,206,29,58,26,93
